Epoch	Time(sec)	Loss_train	Loss_val	pearson	mae	mse	rmse	r2
1	1638.8583885617554	6.270820140838623	5.133111953735352	-0.06724495440721512	1.4229199	5.133112	2.265637206998365	-0.32211899264207355
2	3275.7023459002376	5.872238636016846	3.8880205154418945	0.3120869994163513	1.2542616	3.8880208	1.9718064696771014	-0.0014249501254406383
3	5041.197370413691	5.220092296600342	3.6227056980133057	0.3630630671977997	1.2955422	3.6227057	1.9033406678819496	0.06691145031370904
4	6725.3160541802645	5.089285373687744	3.4428324699401855	0.38374063372612	1.2832344	3.4428325	1.8554871247034255	0.11324083497731774
5	8486.116241518408	4.945125579833984	3.343789577484131	0.3928249776363373	1.2798873	3.3437893	1.8286031114119738	0.1387509974701886
6	10242.691807162017	4.842237949371338	3.2949860095977783	0.397946834564209	1.2846588	3.2949862	1.8152096980834906	0.1513210827600423
7	12088.419743433595	4.813017845153809	3.2291550636291504	0.4132649898529053	1.2378685	3.229155	1.7969849925998687	0.16827696083605959
8	13880.236896805465	4.817070960998535	3.1622164249420166	0.43236830830574036	1.2435663	3.1622167	1.7782622594433577	0.18551809555148324
10	17568.853635326028	4.673220634460449	3.092453956604004	0.4581207036972046	1.271157	3.0924547	1.7585376515331541	0.20348652308799975
11	19362.040951173753	4.473280906677246	3.047610282897949	0.4688419699668884	1.2146213	3.0476103	1.7457406115737668	0.21503691726092422
12	21212.72821031511	4.664833068847656	2.959728956222534	0.4886869788169861	1.1892661	2.959729	1.7203862811073953	0.23767216780462042
14	24833.66262442991	4.433872222900391	2.931732654571533	0.5020006895065308	1.2335519	2.9317327	1.7122303158662777	0.2448831477500869
15	26635.732757296413	4.41094446182251	2.8440041542053223	0.5203166604042053	1.2068334	2.8440042	1.6864175503727783	0.2674790649701383
16	28459.375431340188	4.212006568908691	2.7697970867156982	0.546782910823822	1.2340045	2.769797	1.6642707372046468	0.28659236517058506
