Epoch	Time(sec)	Loss_train	Loss_val	pearson	mae	mse	rmse	r2
1	2304.5080230800086	2.866138219833374	20.79149627685547	0.42009440064430237	3.8994908	20.791498	4.559769531917606	-2.2472993997629716
2	4776.401462586	2.5697362422943115	19.62799835205078	0.44484078884124756	3.7829492	19.628	4.430349902592279	-2.0655798619855315
3	7484.33751872601	2.500779390335083	19.60777473449707	0.40256279706954956	3.785891	19.607775	4.42806670393492	-2.0624210585591767
4	10205.976516765004	2.54665470123291	19.311420440673828	0.5039861798286438	3.7752986	19.311422	4.394476345143123	-2.0161355866124677
6	16073.549292355005	2.426791191101074	19.253477096557617	0.5333006381988525	3.8106692	19.253477	4.387878427732201	-2.0070853406736306
7	19145.525753316004	2.4166412353515625	18.43720817565918	0.5411531329154968	3.7358274	18.437212	4.293857472058947	-1.879597270874989
8	22289.394396478005	2.217843770980835	17.780475616455078	0.553845226764679	3.6829607	17.780478	4.216690351899664	-1.7770262634611682
9	25444.578198498013	2.171598434448242	17.756450653076172	0.5609470009803772	3.6818259	17.75645	4.213840368722595	-1.773273682352841
11	31879.083826685004	2.144181966781616	17.552976608276367	0.5618377327919006	3.646686	17.552975	4.189627036017375	-1.7414941857676363
12	35174.93745593801	2.0953569412231445	17.32196617126465	0.5619175434112549	3.619813	17.321964	4.16196639389556	-1.7054143333670355
13	38467.041161531	2.113555669784546	17.222972869873047	0.5716315507888794	3.616662	17.222971	4.150056742084909	-1.6899528317497245
18	54857.89879837801	2.0293214321136475	17.052745819091797	0.5734715461730957	3.5821815	17.052748	4.129497272845743	-1.663366522393734
19	58169.98951423801	1.9984850883483887	16.67310905456543	0.5753418207168579	3.5312042	16.67311	4.083271856558834	-1.604073120070527
20	61470.95690202899	2.0513386726379395	16.28301429748535	0.5835695266723633	3.4934347	16.283014	4.035221716025695	-1.5431468301331743
