Epoch	Time(sec)	Loss_train	Loss_val	pearson	mae	mse	rmse	r2
1	708.4583628848195	5.509618282318115	27.14323616027832	0.016550278291106224	4.822499	27.143236	5.2099170972558015	-5.981644546475703
2	1441.3662163764238	5.368264675140381	23.66329574584961	0.08342350274324417	4.449563	23.663292	4.864492977808925	-5.086551301827344
3	2209.5725067853928	5.039402484893799	20.163759231567383	0.30615565180778503	4.0448265	20.163761	4.490407680702947	-4.186419606755203
4	2983.8274785354733	5.0004143714904785	19.867435455322266	0.42488566040992737	4.015663	19.86744	4.457290575004005	-4.110200862708902
5	3781.291071355343	4.991523742675781	19.540090560913086	0.48608285188674927	3.9813707	19.54009	4.420417464551633	-4.02600214903594
6	4585.644641414285	4.957860946655273	19.458110809326172	0.5183735489845276	3.9755428	19.458113	4.411135082569429	-4.004916227074683
7	5394.193644084036	4.895297527313232	19.531736373901367	0.5423598289489746	3.985771	19.531738	4.4194726247879395	-4.023853856481029
8	6232.16159889102	4.832432746887207	19.47700309753418	0.568116307258606	3.9806848	19.477003	4.413275778549782	-4.009775564534512
9	7053.347399801016	4.820526599884033	19.730022430419922	0.5824872851371765	4.0107555	19.730022	4.441848987800004	-4.074855802932201
10	7910.16927999258	4.784287452697754	19.566884994506836	0.5994630455970764	3.9979894	19.566885	4.4234471845503975	-4.032894384885861
13	10550.053206406534	4.736938953399658	19.20954704284668	0.6158183217048645	3.959896	19.209547	4.382869726885192	-3.9409813789784804
14	11413.364344716072	4.659659385681152	18.87281608581543	0.6247307658195496	3.9285066	18.872816	4.344285451695759	-3.854369288502685
15	12346.470212131739	4.619201183319092	18.29759407043457	0.642557680606842	3.8685253	18.297592	4.277568487246691	-3.7064132152096176
